date,title,description,source
2016-03-08,Nike 'Suspends Relationship' With Sharapova After Failed Drug Test,The world's largest sportswear maker released a statement saying it was putting ties on hold.,HuffPost
2016-02-18,Manny Pacquiao Continues To Spew Homophobic Trash After Nike Cuts Ties,The boxer won't back away from his recent anti-gay remarks.,HuffPost
2016-01-31,Is Under Armour Copying Nike's Playbook?,"While any sports shoe and apparel manufacturer can sign star athletes, Under Armour and Nike's other rivals have yet to master its use of the news media for promotional leverage. Nike pioneered this strategy during the 1984 Olympics.",HuffPost
2016-01-20,Nike's Black History Month Collection Is Exactly What We Needed To See,You're gonna want these Jordans.,HuffPost
2015-12-07,Nike Just Signed LeBron James For Life,LeBron continues to make history on and off the court.,HuffPost
2015-09-30,New Nike Deal Ensures Future For Women’s Pro Soccer In U.S.,"Four more years, four more years!",HuffPost
2015-09-28,New Nike Ad Celebrates Marathon Runners Who Come In Last,Just finish it.,HuffPost
2015-08-13,Michael Jordan's Lawyer Says His Name Is Worth $480 Million To Nike,Jordan really is that important to Nike.,HuffPost
2015-06-13,Looks Like Nike Has Been Sucked Into The FIFA Scandal,,HuffPost
2015-06-04,"Corrupt Execs, Corporate Accountability and Human Rights: Untangling the Net Around Corporate Criminal Prosecutions","The potential that Nike may not face charges connected with the recent FIFA scandal would be all too consistent with the trend of corporations getting away with criminal activity, with hugely detrimental effects for the protection of human rights.",HuffPost
2015-05-07,"To Sell His Trade Agenda, the President Turns to ... Nike?","Nike is great at making iconic commercials and catchy slogans, but it's not really great at making American manufacturing jobs.",HuffPost
2015-04-18,Take A Look At These Retro Nike Ads For Women,They were published online to coincide with Nike's #betterforit campaign.,HuffPost
2015-01-13,Why It Should Always Be the Season for Exercise,"We all know that exercise is good for us. And this past holiday season, the market was awash with activity monitors like the FitBit and Nike Fuel Band to help you reach your fitness goals from the neck down. But what about from the neck up?",HuffPost
2014-08-10,"One Congregation, One Family",The eight representatives from DC faith communities are engaged in a fierce debate over whether or not to buy an expensive pair of NIKE shoes.,HuffPost
2014-07-23,Rebranding? Be Like Blue Ribbon Sports (Nike),"The only constant is change. If you're not moving forward, you're falling behind. This is why you need to evolve your brand on a constant basis and even rebrand when warranted.",HuffPost
2014-07-08,Nike CEO Promises Soccer Sales Will Keep Soaring After World Cup,,HuffPost
2014-06-20,A Year Out of the Closet,"A year ago, I nervously boarded a flight from Kennedy airport in New York to Portland, Oregon. I would be attending the LGBT Sports Coalition's Summit hosted by Nike. Over 50 leaders in the LGBT sports world would embrace me and change my life forever.",HuffPost
2014-04-01,49 Times Nike Shoes Made An Outfit Infinitely Better,"There's nothing that a pair of Nikes can't solve. Okay, that isn't necessarily true, but there's that special feeling we",HuffPost
2014-03-30,"If You Don't Have A Pair Of Badass Nike Shoes, You're Not Living",This week Nike celebrated the 27th anniversary of Air Max and everyone can agree that they're never going out of style. Even,HuffPost
2014-03-26,Top 5 Athletic Sneakers: The Best Shoes For Your Springtime Runs,"1. Nike Women’s Free 5.0+ Running Shoe, $100: OF COURSE Nike would get a spot on this list -- this time, it's for their attention",HuffPost
2014-02-20,Best Sports Bras: The Top 5 Bras For All The Support You Need,"4. Nike Pro Victory Compression Sports Bra, $30: Do we have to say more than 'Just Do It'? 3. Champion Powerback Underwire",HuffPost
2014-01-11,Pimp Sirgiorgiro Clardy Sues Nike For $100 Million After He Used Air Jordans To Stomp John,Sirgiorgiro Clardy was convicted of repeatedly stomping a man's face after he didn't pay one of Clardy's prostitutes in 2012,HuffPost
2013-12-22,Fights Over New Air Jordans Will Make You Think Twice About Why We Buy,"The Air Jordan 11 Retro Gamma Blue, the latest model in the iconic line of basketball shoes, was launched Saturday. Eager",HuffPost
2013-12-02,The Gamecocks Are 'Cocky' About Style,"When you take a closer look, you'll realize that our school is not only home to wearers of Nike shorts. There are students with impeccable style.",HuffPost
2013-09-12,How the Nike+ FuelBand Became the A-list's Chicest Accessory,SEE MORE FROM VOGUE: Michelle Obama's Best-Dressed Moments The Country's Best Cold-Weather Workouts Are Common Medical Tests,HuffPost
2013-08-14,Nike Dunks and 5 Other Creative Wedding Shoe Ideas,No one said you have to keep your shoe choices traditional on your wedding day. Brides and grooms are getting bolder when it comes to their footwear.,HuffPost
2013-07-01,"Cressida Bonas' Glastonbury Stint Features Overalls, Possibly Prince Harry (PHOTOS)","The 24-year-old socialite was spotted at the music festival on Saturday in a pretty hip pair of overalls, Nike Dunks and",HuffPost
2013-06-29,Nike May Dodge Criticism Of Labor Practices By Cutting Employees In Harsh Working Conditions: Report,Nike is a growth company and while new efficient technologies will be progressively introduced as we innovate in product,HuffPost
2013-05-22,Victoria Beckham's Sneakers By Nike Are A Pretty Shocking Sight (PHOTO),"The fashion designer took to Twitter yesterday afternoon to announce her evening run. ""Lets go running fashion bunnies!!! Beautiful",HuffPost
2013-04-16,"Gabby Douglas Stars In A Nike Ad, Cracks Us Up (VIDEO)","We've all been there. After an exhausting day at work, a cramped subway ride home and the milk that you forgot to pick up",HuffPost
2013-03-10,"Kate Moss Covers W Magazine, New Nike Dunks & More Instagrams Of The Week (PHOTOS)","This week at HuffPost Style, we were all excitedly gearing up for warmer weather -- until the snow returned. One of our editors",HuffPost
2013-02-21,Nike FuelBand Review,"Within a day of wearing the FuelBand, I was so accustomed to it that I often forgot it was there until, suddenly, I began to feel an urge to quantify my day.",HuffPost
2013-02-10,Tiger Woods Nike 'Apologies' Commercial Showcases Covert Driver (VIDEO),"""New Nike ad features Woods, Covert driver"" by Golf Channel Digital appears courtesy of Golf Channel Further Reading At GolfChannel.com",HuffPost
2013-01-03,"Lululemon, Nike And More Workout Clothes That Are Almost Too Cute To Sweat In (PHOTOS)",Kanye's face really says it all.,HuffPost
2012-09-18,What Is 'Mom' Style?,"My Nike shirt said, ""Every Damn Day."" However, like some parents and teachers, my son was not amused. He said, ""A mom can't wear that shirt. It's not a good word. Right?"" I apologized and sighed. I told Dylan he was probably right and I would not wear the shirt to school again.",HuffPost
2012-08-14,"Nike's Notion of Greatness, and the Road Not Taken",Weight does not measure human worth.  It is not an indicator of character.  Bathroom scales are not designed to weigh merit.  The boy in the Nike ad may well be full to the brim with greatness -- but none of it has anything to do with running.,HuffPost
2012-08-14,"Nike Gold Digging Shirt: Funny Or Offensive? (PHOTO, POLL)","We don't like to be super sensitive about these things, but something about this seems... off. The t-shirt features metallic",HuffPost
2012-08-13,How Do You 'Find Your Greatness'?,"Nike's new Olympics ad campaign celebrates the idea that ""if you have a body, you're an athlete."" Here's a look at how the",HuffPost
2012-08-06,"Warren Sapp Air Jordans: Former NFL Star Auctions $6,500 Sneaker Collection (PHOTOS)",LOOK: A Few Of Sapp's 240 Pairs Of Rare Nike Air Jordans Sapp played nine seasons for the Tampa Bay Buccaneers and helped,HuffPost
2012-05-30,Nike Air Yeezy II Sneakers Were Tailored To Kanye West's Feet (PHOTOS),"Because God forbid a week goes by without Kanye making headlines, we are delighted to bring you the rapper's newest project",HuffPost
2012-03-11,Nike NSW Jacket: In The Stylelist Network,From Lulu And Your Mom: I guess I haven't really talked about my move. Moving to LA is probably one of the best decisions,HuffPost
2012-02-04,Going Swimming In Antarctica By Accident And On Purpose (PHOTOS),"I heard a muffled swoosh, and a soft, but urgent, ""Ed."" When I looked around, there was Harriet, up to her armpits in water, leaning out of a large hole in the ice.",HuffPost
