date,title,description,source
2026-04-16,Ohio drops $51M on 64 new EV charging sites – here’s where they’ll go,"Ohio is adding 64 more EV fast-charging sites as it ramps up its National Electric Vehicle Infrastructure (NEVI) buildout again.



 more…",Electrek
2026-04-16,Tesla’s China chief calls Shanghai factory a ‘golden key’ to mass-producing humanoid robots,"In short: Tesla’s China president Wang Hao has described the Shanghai Gigafactory as a “golden key” to mass-producing Optimus humanoid robots, the first time a Tesla executive has publicly linked the factory to robotics manufacturing. The plant delivered 851,…",The Next Web
2026-04-16,BMW and MINI Enable Contract-Free Plug & Charge in Germany,"Public charging just got a lot less annoying for BMW and MINI EV drivers in Germany. Since March 16th, both brands have enabled contract-free Plug & Charge at public DC fast chargers — meaning you...
First published by https://www.bmwblog.com",BMWBLOG
2026-04-15,Molotov-slinging menace allegedly strikes Tesla shop amid wave of corporate arson attacks,"Authorities say an early morning arson attack struck a Tesla sales office in New Orleans, with ATF agents and police investigating the fire.",Fox News
2026-04-15,"Ford dissolves EV unit, Doug Field out as Farley chases 8% margin","Ford is dissolving its standalone electric vehicle division — and losing the executive who built it. The automaker said today that Doug Field, its chief EV, digital, and design officer, will leave the company next month after nearly five years leading Ford’s …",Electrek
2026-04-15,Ford EV and tech chief leaving automaker | TechCrunch,Doug Field had stints at Apple and Tesla before joining Ford in 2021.,TechCrunch
2026-04-15,Monarch Tractor's collapse ends in with an acquisition by Caterpillar | TechCrunch,"The startup had faced mounting pressure from dealers, farmers, and a co-founder who complained that Monarch's tech didn't work properly.",TechCrunch
2026-04-15,Monarch Tractor’s collapse ends with an acquisition by Caterpillar,"The startup had faced mounting pressure from dealers, farmers, and a co-founder who complained that Monarch's tech didn't work properly.",Yahoo Entertainment
2026-04-15,Ford EV leader leaving automaker amid new restructuring efforts,"The departure was announced alongside Ford detailing a new restructuring that includes the establishment of a ""Product Creation and Industrialization"" unit.",CNBC
2026-04-15,Quadruple amputee cornhole pro Dayton Webber pictured with swastika scar days before gunning down pal,Dayton Webber was indicted on first-degree murder charges on Monday.,New York Post
2026-04-15,Ford’s EV and software chief Doug Field is leaving the company,"Doug Field, who left Apple five years ago to helm Ford's multibillion-dollar bet on electric vehicles and software, is stepping down next month. Replacing him will be Alan Clarke, the ex-Tesla engineer who now leads Ford's California-based skunkworks lab. Cla…",The Verge
2026-04-15,California Gov. Candidate Tom Steyer Pledges to Open Borders and Arrest ICE Agents,"Tom Steyer, the now top polling Democrat for California governor, has unveiled his extremely radical, open-door, anti-ICE immigration platform as he continues his run for the state's top office.
The post California Gov. Candidate Tom Steyer Pledges to Open Bo…",Breitbart News
2026-04-15,Uber Stock Just Broke Above Its 50-Day Moving Average. Should You Chase the Rally?,Uber stock rallies on an expanded deal with Lucid Group as part of the company’s $10 billion commitment to its robotaxi strategy. But does that warrant...,Barchart.com
2026-04-15,"Tesla Is Still a ‘Leader in Physical AI’ and You Should Buy TSLA Stock Now, Says UBS",,Yahoo Entertainment
2026-04-15,Cathie Wood Is Buying Tesla—Should You?,,Yahoo Entertainment
2026-04-15,S&P 500 Hits a Fresh All-Time High,"Wall Street's 2026 rollercoaster just hit a peak: The S&P 500 climbed 0.5% on Wednesday to a fresh record, eclipsing the previous high of 7,002.28 that it hit on Jan. 28. It's at 7,006 as of this writing. After falling 9.8% below that record in...",Newser
2026-04-15,"Velotric Earth Day e-bike sale offers up to $562 savings, score up to $6,822 savings on EcoFlow DELTA Pro Ultra + X power stations, more","Leading our mid-week Green Deals is Velotric’s Earth Day e-bike sale with up to $562 savings, like the Fold 1 Plus Folding e-bike that is getting a FREE cargo rack seat pad at its $1,399 low, among other models. There’s also a special promotion with up to $6,…",Electrek
2026-04-15,S&P 500 hits new all-time high as investors shrug off Iran war oil price spike,"The S&P 500 hit a new all-time high Wednesday, a remarkable turnaround for stocks while the war with Iran drives up energy prices and cuts into global growth.",NBC News
2026-04-15,"Tesla shares climb more than 6% after analyst upgrade, software updates",UBS analysts changed their previously bearish rating on shares of Tesla this week.,CNBC
2026-04-15,SoundHound AI Rallies 9% as Short Squeeze Chatter Heats Up Ahead of Earnings,"SoundHound AI (NASDAQ:SOUN) stock is up 9% in Wednesday trading, rising from $6.97 to $7.63 as short squeeze chatter intensifies ahead of a closely watched...",24/7 Wall St.
2026-04-15,Why Dow Jones crashes today while Nasdaq is gaining: US stock market in doldrums as Dow falls 200 points while S&P 500 and Nasdaq stay in green,"US stock market today shows explosive moves as top gainers surge over 600% while select losers drag sentiment slightly. The Dow Jones Industrial Average has slipped nearly 200 points to 48,339, while the Nasdaq Composite surged close to 0.8% and the S&P 500 s…",The Times of India
2026-04-15,"12 Cheap Vehicles Known For Reliability Beyond 200,000 Miles","Many drivers want a car that is both affordable and something they will have for a long time. These cars are not only reliable, but can last over 200,000...",Moneydigest.com
2026-04-15,Tesla ‘Full Self-Driving’ crashed through railroad gate seconds before train,"A Texas Tesla owner says he punched the accelerator to outrun an oncoming train after his car on “Full Self-Driving” drove itself through a lowered railroad crossing arm as the train closed in on the tracks.



Joshua Brown, who says he has logged more than 4…",Electrek
2026-04-15,"Why TSLA stock today surged over 8%? AI5 chip update, Elon Musk’s vision, growth outlook and Tesla stock price prediction explained",TSLA stock today: Tesla shares saw a significant jump on Wednesday. This rise is linked to better market feelings and new details about the company's artificial intelligence advancements. Elon Musk shared that the design for the AI5 self-driving chip is compl…,The Times of India
2026-04-15,"Elon Musk demonstrates first sample of Tesla AI5 processor, accidentally thanks TSC rather than TSMC — claims 40X performance boost over the predecessor","As Elon Musk shows off the first Tesla AI5 sample with a 384-bit memory interface, he says next-generation AI6 and Dojo 3 processors are in the works.",Slashdot.org
2026-04-15,China Considers Cuts to Solar Equipment Exports to U.S.,China is tentatively considering whether to curb exports of solar manufacturing equipment to the United States in what could become another significant export restriction of a technology in which Chinese companies are global leaders. Officials in China have d…,OilPrice.com
2026-04-15,"Elon Musk demonstrates first sample of Tesla AI5 processor, accidentally thanks TSC rather than TSMC — claims 40X performance boost over the predecessor","As Elon Musk shows off the first Tesla AI5 sample with a 384-bit memory interface, he says next-generation AI6 and Dojo 3 processors are in the works.",Tom's Hardware UK
2026-04-15,Most people still don’t want anything to do with robotaxis,"I've been reporting on self-driving cars for over a decade, and I've seen the technology go through many ups and downs, highs and lows. But one thing has remained remarkably the same over the years: the public just ain't buying it. Poll after poll has reveale…",The Verge
2026-04-15,Tesla AI5 AI chip taped out in partnership with Samsung and TSMC,"Elon Musk says it will be 'one of the most produced AI chips ever', and that AI6, Dojo3, and other exciting chips are in the works.Continue reading at TweakTown",TweakTown
2026-04-15,"Long Elon, short Jensen: A research firm says retail traders are flocking back to Tesla and pivoting from Nvidia","Retail traders have been buying the year to date dip in Tesla shares, while buying of Nvidia stock has slowed, Vanda Research data shows.",Business Insider
2026-04-14,"2026 MG S6 EV: Model Y, Sealion 7 rival officially confirmed for Australia","MG's Tesla Model Y, BYD Sealion 7 and Zeekr 7X rival debuted in Australia last weekend, ahead of first customer deliveries soon.",Drive.com.au
2026-04-14,Project Sendpai Is The 550 Horsepower Electric Truck We All Want,Sendpai is one of those pie-in-the-sky builds that regular folks like you or I dream about.,Jalopnik
2026-04-14,SpaceX IPO mania: Big opportunity or hidden red flags for investors? What to know,"SpaceX IPO is drawing massive global attention as reports suggest a possible valuation near $2 trillion in 2026. This could make it the biggest IPO in history. SpaceX revenue is estimated at $15–16 billion, driven by Starlink satellite internet and Falcon 9 r…",The Times of India
2026-04-14,Ford CEO warns Chinese EVs would hit ‘the heart and soul’ of the US,"“We should not let them into our country,” Ford’s CEO Jim Farley warned during a recent interview, admitting it wouldn’t be a fair fight.



 more…",Electrek
2026-04-14,Stocks Rally on a Push for Diplomacy to End US-Iran War,"The S&P 500 Index ($SPX ) (SPY ) on Tuesday closed up +1.18%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed up +0.66%, and the Nasdaq 100 Index...",Barchart.com
2026-04-14,Tesla Gamifies The Advanced Driver-Assistance Software It Wrongly Calls 'Full Self-Driving',"We're finally starting to make our roads safer, but adding a bunch of distracted, streak-chasing Tesla owners to the mix definitely won't help things.",Jalopnik
2026-04-14,UBS resets Tesla stock price for the rest of 2026,"Tesla has dropped more than 21% in 2026. UBS had been one of the bears. On April 14, that changed. UBS upgraded Tesla (NASDAQ: TSLA) from Sell to Neutral and...",TheStreet
2026-04-14,"New Mercedes EQS Has Long Range, Quick Charging, and Quicker Steering",Mercedes-Benz is taking another run at the EV market.,Gizmodo.com
2026-04-14,Tesla Gives Model S And Model X A Grand Farewell With Special Signature Edition,"Tesla is about to stop selling the Model S and Model X electric vehicles, but not before it releases a special version of each dubbed the Signature Series Plaid editions.
The post Tesla Gives Model S And Model X A Grand Farewell With Special Signature Edition…",redmondpie.com
2026-04-14,"Prayer, a favorable coin flip and Jay Hill brought safety Faletau Satuala to BYU, but now he’s a Cougar for life","His “biggest mentor in life” is at Michigan, but BYU safety is happy he's in Provo.",Deseret News
2026-04-14,Hyundai’s new Venus IONIQ EV looks fake after it was caught driving on public streets [Video],"After unveiling the new Venus and Earth last week, we are already getting our first look at Hyundai’s new IONIQ EV in real life.



 more…",Electrek
2026-04-14,Elon Musk Is Banking on Fanboys,"SpaceX may be losing money, but it will soon be the most expensive big stock in the market.",The Atlantic
2026-04-14,"Earth Day sales on Lectric e-bikes and Jackery power stations, Heybike Villain electric dirt bike flash bundle low, EcoFlow, more","Our Tuesday Green Deals are jam-packed with notable sales, starting with Lectric’s Earth Day Sale that is offering up to $694 savings on e-bike bundles starting from $799. We also have Jackery’s Earth Day Sale with up to 54% power station and accessories savi…",Electrek
2026-04-14,"Intel’s (INTC) A Rocket Ship, Says Jim Cramer",Intel Corporation (NASDAQ:INTC) is one of Jim Cramer’s Top Iran War Stocks Revealed in This List of 10 Stocks. Chip manufacturer Intel Corporation...,Yahoo Entertainment
2026-04-14,Chinese carmaker Chery’s AI-powered robot up for sale on major online store,Chinese carmaker Chery has officially taken a bold step into the future by becoming one of the first robot makers to sell its humanoid product directly to the public.,News.com.au
2026-04-14,Tesla's massive Spring update leaves older cars behind — as owners spot fresh clue about a big Full Self-Driving change,"“Delegated to the cr*p pile, just like all the previous car owners” — Tesla’s Spring update leaves older cars behind",TechRadar
2026-04-14,Rivian partners with Tesla co-founder’s Redwood on energy storage,"Rivian is partnering with Redwood Materials, the battery company founded by Tesla co-founder JB Straubel, to build a second-life battery energy storage system at its EV manufacturing plant in Normal, Illinois.



The initial deployment will use more than 100 …",Electrek
2026-04-14,Tesla’s Gigafactory Water Use Surges in Austin as New Chip Plant Looms,"Tesla’s Giga Texas increased its annual treated water use by more than 200 million gallons in just two years, raising concerns about whether Austin can fulfill its long-term water conservation plans as Elon Musk advances plans for a new semiconductor …",Insurance Journal
2026-04-14,Ford CEO Jim Farley warns Chinese cars sales in US would be ‘devastating’ to domestic automakers,Ford CEO Jim Farley said Chinese automakers should not be allowed to sell their vehicles in the US – warning the competition would decimate American car brands.,New York Post
2026-04-14,‘Owning Manhattan’ star Ryan Serhant debuts his brokerage in California — with a $195M mansion and $2B in inventory,"Serhant launches on Tuesday with grand inventory across the Golden State, including $1 billion in LA property alone.",New York Post
2026-04-14,Electric pickups were supposed to be the future. Now they're stalling.,Tesla's Cybertruck and Ford's F-150 Lightning both saw big sales declines as Americans lose interest in electric pickup trucks.,Business Insider
2026-04-14,"Elon Musk's No-Sugarcoating Style Creates Top Talent, Says Marc Andreessen— Compares Him To Steve Jobs: Cathie Wood Said This","On Sunday, Ark Invest's Cathie Wood highlighted Marc Andreessen's view that Elon Musk's blunt, truth-first leadership style mirrors Steve Jobs and helps...",Yahoo Entertainment
2026-04-14,Grok 4.20 Beta 2 Powers xAI Advances as Model Tops Benchmarks and Saves Lives in April 2026,"NEW YORK — xAI's Grok 4.20 Beta 2 continues to dominate AI leaderboards in mid-April 2026, achieving top rankings in medicine, legal reasoning and general benchmarks while generating real-world impact, including reports of the AI helping save human and animal…",Ibtimes.com.au
2026-04-14,"The Future of Everything is Lies, I Guess: Work",,Aphyr.com
2026-04-14,"Tesla adds 'streaks,' other stats to track how often drivers use Full Self-Driving software | TechCrunch","Tesla adds 'streaks,' other stats to track how often drivers use Full Self-Driving software | TechCrunchtechcrunch.com",TechCrunch
2026-04-14,Tesla Upgraded by UBS: Is the Physical AI Giant Finally Too Cheap to Ignore?,,Yahoo Entertainment
2026-04-14,"Lucid sells more robotaxis to Uber, appoints a new CEO","Lucid is making some changes. The luxury EV company said Tuesday that it was expanding its robotaxi deal with Uber - and nabbing some additional investment cash in the process. And it's naming a new CEO who hails not from the world of electric vehicles, but f…",The Verge
2026-04-14,Elon Musk spreading lies against South Africa – presidency,South Africa’s presidency has dismissed Elon Musk’s latest claims about the killing of white farmers as lies and disinformation Read Full Article at RT.com,RT
2026-04-14,Select Uber Employees Can Now Catch an Autonomous Ride in a Pricey Lucid EV,"Those in the Bay Area can request rides in Gravity robotaxis, with commercial service expected to launch later this year.
Uber has begun letting select employees ride in Lucid’s Gravity robotaxis in San Francisco as the two companies prepare for a commercial …",PCMag.com
2026-04-13,"You Can Soon Buy a $4,370 Humanoid Robot on AliExpress","Unitree is bringing its R1 to international markets. It arrives with some aerobatic capabilities and an entry-level price, but the question of what you'd actually do with it remains open.",Wired
2026-04-13,"Tesla 2026 Spring Update: Grok AI, Safety Light Alerts, and New Pet Mode","Tesla has detailed its massive 2026 Spring Update, and it is packed with upgrades that make the car feel more like a personal assistant than a vehicle. While the update is rolling out globally, Canadian owners with the latest hardware will see the most signif…",iPhone in Canada
2026-04-13,"The Genesis GV90 interior leaked, and it’s even more luxurious than expected [Video]","The GV90 looks like something high-ranking government officials or celebrities ride in. Genesis set out to redefine luxury with the GV90, and the interior proves it. Here’s our first look.



 more…",Electrek
2026-04-13,Japan's Tech Titans Just Teamed Up to Build a Trillion-Parameter AI—And It's Not Here to Chat,"SoftBank, Sony, Honda, and NEC have formed a new company to build physical AI for robots and machines, backed by $6.7 billion in government funding.",Decrypt
2026-04-13,"Tesla launches Spring Update 2026 with ‘Hey Grok,’ new Self-Driving app, and more","Tesla is rolling out its Spring Update 2026 software, bringing over a dozen new features to its fleet. The highlights include a redesigned Self-Driving subscription app, voice-activated Grok, and a long-requested auto-install feature for software updates.



…",Electrek
2026-04-13,2015 BMW i3 REx at No Reserve,This 2015 BMW i3 is powered by an electric motor paired with a single-speed transmission and is finished in Capparis White with BMW i Frozen Blue accents over Mega Carum Spice Gray SensaTec and cloth. Features include the Technology and Driving Assistant Pack…,Bringatrailer.com
2026-04-13,"Quad Amputee Cornhole Player Indicted on First-Degree Murder Charges, Lawyer Claims Self-Defense: ‘Kill or be Killed’","The quadruple amputee cornhole pro who allegedly shot and killed a passenger in his car and later dumped the body has pleaded not guilty to first-degree murder charges in the case.
The post Quad Amputee Cornhole Player Indicted on First-Degree Murder Charges,…",Breitbart News
